length,contexts_with_survivors,contexts_all_canonical,prompt_canonicity_q25,prompt_canonicity_median,prompt_canonicity_q75,prompt_canonicity_min,prompt_survival_q25,prompt_survival_median,prompt_survival_q75
32,100,91,100.0,100.0,100.0,93.75,100.0,100.0,100.0
64,100,85,100.0,100.0,100.0,87.5,100.0,100.0,100.0
128,100,73,93.75,100.0,100.0,81.25,100.0,100.0,100.0
256,100,54,92.85714285714286,100.0,100.0,35.714285714285715,87.5,93.75,100.0
512,98,45,83.33333333333333,93.0952380952381,100.0,33.333333333333336,31.25,59.375,87.5
1024,85,51,75.0,100.0,100.0,0.0,6.25,12.5,25.0
2048,47,38,100.0,100.0,100.0,0.0,0.0,0.0,6.25
