context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
unconditional,32,64,44,20,37,7,84.0909090909091,70.63379493775939,92.07332298779876
unconditional,64,64,44,20,35,9,79.54545454545455,65.49942193889834,88.84674692991871
unconditional,128,64,44,20,34,10,77.27272727272727,63.007641935363665,87.15805240508284
unconditional,256,64,42,22,32,10,76.19047619047619,61.47245613168168,86.51903577535288
unconditional,512,64,41,23,31,10,75.60975609756098,60.65666377742431,86.17499726190967
unconditional,1024,64,36,28,24,12,66.66666666666667,50.33399787115652,79.78538117569468
unconditional,2048,64,31,33,17,14,54.83870967741935,37.77216763735451,70.83826401947998
