model_alias,condition,context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high,model_label,survival_percentage,canonical_yield_percentage
gemma3-4b-it,unconditional,unconditional,32,64,64,0,62,2,96.875,89.3027082290417,99.13878616538281,Gemma 3 4B IT,100.0,96.875
gemma3-4b-it,unconditional,unconditional,64,64,63,1,60,3,95.23809523809524,86.90903216209392,98.36738311320045,Gemma 3 4B IT,98.4375,93.75
gemma3-4b-it,unconditional,unconditional,128,64,62,2,59,3,95.16129032258064,86.71196207267606,98.34083141494193,Gemma 3 4B IT,96.875,92.1875
gemma3-4b-it,unconditional,unconditional,256,64,57,7,54,3,94.73684210526316,85.63044960283645,98.19397043663383,Gemma 3 4B IT,89.0625,84.375
gemma3-4b-it,unconditional,unconditional,512,64,46,18,43,3,93.47826086956522,82.49725891809578,97.75721385707115,Gemma 3 4B IT,71.875,67.1875
gemma3-4b-it,unconditional,unconditional,1024,64,13,51,12,1,92.3076923076923,66.68604907890041,98.62895787574435,Gemma 3 4B IT,20.3125,18.75
gemma3-4b-it,unconditional,unconditional,2048,64,0,64,0,0,,,,Gemma 3 4B IT,0.0,0.0
gemma3-4b-it,wikitext,__pooled__,32,1600,1598,2,1589,9,99.43679599499374,,,Gemma 3 4B IT,99.875,99.3125
gemma3-4b-it,wikitext,__pooled__,64,1600,1593,7,1576,17,98.93283113622097,,,Gemma 3 4B IT,99.5625,98.5
gemma3-4b-it,wikitext,__pooled__,128,1600,1573,27,1537,36,97.71137952956134,,,Gemma 3 4B IT,98.3125,96.0625
gemma3-4b-it,wikitext,__pooled__,256,1600,1437,163,1352,85,94.0848990953375,,,Gemma 3 4B IT,89.8125,84.5
gemma3-4b-it,wikitext,__pooled__,512,1600,937,663,832,105,88.7940234791889,,,Gemma 3 4B IT,58.5625,52.0
gemma3-4b-it,wikitext,__pooled__,1024,1600,274,1326,222,52,81.02189781021897,,,Gemma 3 4B IT,17.125,13.875
gemma3-4b-it,wikitext,__pooled__,2048,1600,67,1533,56,11,83.58208955223881,,,Gemma 3 4B IT,4.1875,3.5
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,32,64,44,20,37,7,84.0909090909091,70.63379493775939,92.07332298779876,Qwen3 30B-A3B,68.75,57.8125
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,64,64,44,20,35,9,79.54545454545455,65.49942193889834,88.84674692991871,Qwen3 30B-A3B,68.75,54.6875
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,128,64,44,20,34,10,77.27272727272727,63.007641935363665,87.15805240508284,Qwen3 30B-A3B,68.75,53.125
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,256,64,42,22,32,10,76.19047619047619,61.47245613168168,86.51903577535288,Qwen3 30B-A3B,65.625,50.0
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,512,64,41,23,31,10,75.60975609756098,60.65666377742431,86.17499726190967,Qwen3 30B-A3B,64.0625,48.4375
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,1024,64,36,28,24,12,66.66666666666667,50.33399787115652,79.78538117569468,Qwen3 30B-A3B,56.25,37.5
qwen3-30b-a3b-instruct-2507,unconditional,unconditional,2048,64,31,33,17,14,54.83870967741935,37.77216763735451,70.83826401947998,Qwen3 30B-A3B,48.4375,26.5625
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,32,1600,1600,0,1578,22,98.625,,,Qwen3 30B-A3B,100.0,98.625
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,64,1600,1600,0,1569,31,98.0625,,,Qwen3 30B-A3B,100.0,98.0625
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,128,1600,1598,2,1552,46,97.12140175219024,,,Qwen3 30B-A3B,99.875,97.0
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,256,1600,1584,16,1518,66,95.83333333333333,,,Qwen3 30B-A3B,99.0,94.875
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,512,1600,1540,60,1424,116,92.46753246753246,,,Qwen3 30B-A3B,96.25,89.0
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,1024,1600,1409,191,1239,170,87.9347054648687,,,Qwen3 30B-A3B,88.0625,77.4375
qwen3-30b-a3b-instruct-2507,wikitext,__pooled__,2048,1600,1177,423,958,219,81.39337298215803,,,Qwen3 30B-A3B,73.5625,59.875
gemma-2b-it,unconditional,unconditional,32,64,58,6,30,28,51.724137931034484,39.16226178340948,64.07181457594501,Gemma 1 2B IT,90.625,46.875
gemma-2b-it,unconditional,unconditional,64,64,55,9,28,27,50.90909090909091,38.0762598469722,63.62322215099672,Gemma 1 2B IT,85.9375,43.75
gemma-2b-it,unconditional,unconditional,128,64,44,20,25,19,56.81818181818182,42.22414699362943,70.3172765914822,Gemma 1 2B IT,68.75,39.0625
gemma-2b-it,unconditional,unconditional,256,64,24,40,13,11,54.166666666666664,35.07486535891948,72.108666268789,Gemma 1 2B IT,37.5,20.3125
gemma-2b-it,unconditional,unconditional,512,64,1,63,1,0,100.0,20.654931437723747,100.0,Gemma 1 2B IT,1.5625,1.5625
gemma-2b-it,unconditional,unconditional,1024,64,0,64,0,0,,,,Gemma 1 2B IT,0.0,0.0
gemma-2b-it,unconditional,unconditional,2048,64,0,64,0,0,,,,Gemma 1 2B IT,0.0,0.0
gemma-2b-it,wikitext,__pooled__,32,1600,1538,62,1516,22,98.56957087126138,,,Gemma 1 2B IT,96.125,94.75
gemma-2b-it,wikitext,__pooled__,64,1600,1425,175,1396,29,97.96491228070175,,,Gemma 1 2B IT,89.0625,87.25
gemma-2b-it,wikitext,__pooled__,128,1600,1086,514,1044,42,96.13259668508287,,,Gemma 1 2B IT,67.875,65.25
gemma-2b-it,wikitext,__pooled__,256,1600,428,1172,400,28,93.45794392523365,,,Gemma 1 2B IT,26.75,25.0
gemma-2b-it,wikitext,__pooled__,512,1600,45,1555,39,6,86.66666666666667,,,Gemma 1 2B IT,2.8125,2.4375
gemma-2b-it,wikitext,__pooled__,1024,1600,0,1600,0,0,,,,Gemma 1 2B IT,0.0,0.0
gemma-2b-it,wikitext,__pooled__,2048,1600,0,1600,0,0,,,,Gemma 1 2B IT,0.0,0.0
llama2-7b,unconditional,unconditional,32,64,64,0,64,0,100.0,94.33759402071946,100.0,Llama 2 7B,100.0,100.0
llama2-7b,unconditional,unconditional,64,64,60,4,57,3,95.0,86.29948352365146,98.28504978356042,Llama 2 7B,93.75,89.0625
llama2-7b,unconditional,unconditional,128,64,53,11,49,4,92.45283018867924,82.14152251634678,97.02604449130533,Llama 2 7B,82.8125,76.5625
llama2-7b,unconditional,unconditional,256,64,46,18,40,6,86.95652173913044,74.334142220927,93.88215963796489,Llama 2 7B,71.875,62.5
llama2-7b,unconditional,unconditional,512,64,37,27,31,6,83.78378378378379,68.86351629906503,92.34879276598885,Llama 2 7B,57.8125,48.4375
llama2-7b,unconditional,unconditional,1024,64,22,42,17,5,77.27272727272727,56.56004682477829,89.87696001475148,Llama 2 7B,34.375,26.5625
llama2-7b,unconditional,unconditional,2048,64,9,55,5,4,55.55555555555556,26.665129349549304,81.12214789023355,Llama 2 7B,14.0625,7.8125
llama2-7b,wikitext,__pooled__,32,1600,1598,2,1371,227,85.79474342928661,,,Llama 2 7B,99.875,85.6875
llama2-7b,wikitext,__pooled__,64,1600,1592,8,1362,230,85.55276381909547,,,Llama 2 7B,99.5,85.125
llama2-7b,wikitext,__pooled__,128,1600,1568,32,1329,239,84.75765306122449,,,Llama 2 7B,98.0,83.0625
llama2-7b,wikitext,__pooled__,256,1600,1517,83,1248,269,82.26763348714569,,,Llama 2 7B,94.8125,78.0
llama2-7b,wikitext,__pooled__,512,1600,1414,186,1120,294,79.20792079207921,,,Llama 2 7B,88.375,70.0
llama2-7b,wikitext,__pooled__,1024,1600,1215,385,832,383,68.47736625514403,,,Llama 2 7B,75.9375,52.0
llama2-7b,wikitext,__pooled__,2048,1600,911,689,413,498,45.334796926454445,,,Llama 2 7B,56.9375,25.8125
mamba-130m,unconditional,unconditional,32,64,64,0,56,8,87.5,77.22543817887005,93.52775733666955,Mamba 130M,100.0,87.5
mamba-130m,unconditional,unconditional,64,64,61,3,52,9,85.24590163934427,74.2767647052789,92.03883149206723,Mamba 130M,95.3125,81.25
