horizon,landmark,surviving_rollouts,at_risk_rollouts,excluded_noncanonical_at_landmark,eligible_contexts,informative_contexts,prior_and_future,prior_only,future_only,neither,pooled_future_probability_given_prior,pooled_future_probability_given_no_prior,pooled_future_risk_difference,common_odds_ratio,test_name,test_statistic,p_value,log10_p_value
128,64,1578,1344,234,100,49,40,48,260,996,0.45454545454545453,0.2070063694267516,0.24753908511870293,2.511933750103914,exact_stratified_conditional,,0.0015027741494738078,-2.8231062842218013
256,128,1522,1104,418,100,70,76,58,357,613,0.5671641791044776,0.3680412371134021,0.1991229419910755,1.9029118159631617,exact_stratified_conditional,,0.0023723332988173996,-2.624824295211444
512,256,1396,721,675,100,63,98,43,361,219,0.6950354609929078,0.6224137931034482,0.07262166788945956,1.1964286798870294,exact_stratified_conditional,,0.49706927513422494,-0.30358308065913725
1024,512,1196,307,889,94,21,105,6,170,26,0.9459459459459459,0.8673469387755102,0.07859900717043578,2.4790313852813854,exact_stratified_conditional,,0.06320532579002752,-1.1992463257718722
2048,1024,865,44,821,30,1,19,2,21,2,0.9047619047619048,0.9130434782608695,-0.008281573498964745,0.0,exact_stratified_conditional,,1.0,0.0
