horizon,landmark,surviving_rollouts,at_risk_rollouts,excluded_noncanonical_at_landmark,eligible_contexts,informative_contexts,prior_and_future,prior_only,future_only,neither,pooled_future_probability_given_prior,pooled_future_probability_given_no_prior,pooled_future_risk_difference,common_odds_ratio,test_name,test_statistic,p_value,log10_p_value
128,64,1598,1567,31,100,1,1,4,20,1542,0.2,0.012804097311139564,0.18719590268886044,inf,exact_stratified_conditional,,0.06250000000000017,-1.2041199826559235
256,128,1584,1538,46,100,5,3,5,43,1487,0.375,0.028104575163398694,0.3468954248366013,6.966666666666666,exact_stratified_conditional,,0.021893310546874992,-1.6596885626197702
512,256,1540,1476,64,100,16,7,20,92,1357,0.25925925925925924,0.06349206349206349,0.19576719576719576,3.2873631603998104,exact_stratified_conditional,,0.022767278373814596,-1.642688882335202
1024,512,1409,1305,104,100,33,32,30,157,1086,0.5161290322580645,0.1263073209975865,0.38982171126047804,4.359276395759888,exact_stratified_conditional,,2.8821759895744658e-08,-7.540279504102349
2048,1024,1177,1036,141,100,60,83,40,185,728,0.6747967479674797,0.20262869660460023,0.4721680513628794,6.303434485820237,exact_stratified_conditional,,7.081150096402431e-18,-17.149896199943413
