horizon,landmark,surviving_rollouts,at_risk_rollouts,excluded_noncanonical_at_landmark,eligible_contexts,informative_contexts,prior_and_future,prior_only,future_only,neither,pooled_future_probability_given_prior,pooled_future_probability_given_no_prior,pooled_future_risk_difference,common_odds_ratio,test_name,test_statistic,p_value,log10_p_value
128,64,1568,1351,217,87,3,2,35,21,1293,0.05405405405405406,0.01598173515981735,0.038072318894236706,3.0434782608695654,exact_stratified_conditional,,0.18858333333333352,-0.7244966920928958
256,128,1517,1293,224,87,2,1,34,47,1211,0.02857142857142857,0.037360890302066775,-0.008789461730638205,1.0,exact_stratified_conditional,,1.0,0.0
512,256,1414,1178,236,86,7,3,32,61,1082,0.08571428571428572,0.05336832895888014,0.032345956755405574,1.232133979617201,exact_stratified_conditional,,0.9999999999999999,-2.913888700538884e-17
1024,512,1215,952,263,86,10,5,28,130,789,0.15151515151515152,0.14145810663764963,0.010057044877501892,0.22070063694267514,exact_stratified_conditional,,0.26751053111455586,-0.5726591163907381
2048,1024,911,629,282,81,13,16,18,212,383,0.47058823529411764,0.3563025210084034,0.11428571428571427,1.1483530254206946,exact_stratified_conditional,,0.7914508310224123,-0.1015760605602325
